"Case Number","Case Date","Status","Completion Date","Address","City","State","Zip Code","City PIN","County","Council District","Police District","Neighborhood","Latitude","Longitude","Mapping Location"
"1152780","02/29/2016","C","12/30/2016","2021 QUINCY AVE","Kansas City","MO","64127","17893","Jackson","3","East","East Community Team North","39.086163","-94.522917","2021 QUINCY AVE   64127 (39.086163, -94.522917)"
"1186362","09/18/2017","C","08/09/2018","2016 E 48th St","Kansas City","MO","64130","138566","Jackson","3","Metro","Blue Hills","39.039447","-94.560607","2016 E 48th St   64130 (39.039447, -94.560607)"
"1065108","05/21/2012","C","06/15/2012","10801 Bennington Ave","Kansas City","MO","64134","59363","Jackson","6","South","Stratford Estates","38.928598","-94.513122","10801 Bennington Ave   64134 (38.928598, -94.513122)"
"1073427","08/17/2012","C","02/05/2013","1312 E 27th St","Kansas City","MO","64108","256209","Jackson","3","Central","Beacon Hills","39.077911","-94.567737","1312 E 27th St   64108 (39.077911, -94.567737)"
"1147281","10/13/2015","C","10/17/2018","2443 Cleveland Ave","Kansas City","MO","64127","16921","Jackson","3","East","East Community Team South","39.080699","-94.538094","2443 Cleveland Ave   64127 (39.080699, -94.538094)"
"1130848","03/13/2015","C","12/06/2016","2209 WABASH AVE","Kansas City","MO","64127","13201","Jackson","3","East","Wendell Phillips","39.085157","-94.552944","2209 WABASH AVE   64127 (39.085157, -94.552944)"
"1047672","08/18/2011","C","10/12/2012","5644 Michigan Ave","Kansas City","MO","64130","147945","Jackson","5","Metro","Blue Hills","39.023431","-94.563862","5644 Michigan Ave   64130 (39.023431, -94.563862)"
"1249553","01/22/2021","C","03/29/2021","2847 Van Brunt Blvd","Kansas City","MO","64128","21648","Jackson","3","East","South Blue Valley","39.072911","-94.520107","2847 Van Brunt Blvd   64128 (39.072911, -94.520107)"
"1070173","08/01/2012","C","12/27/2016","930 Ewing Ave","Kansas City","MO","64126","5301","Jackson","4","East","Sheffield","39.099886","-94.503312","930 Ewing Ave   64126 (39.099886, -94.503312)"
"1212706","01/22/2019","C","07/31/2019","2441 Park Ave","Kansas City","MO","64127","14135","Jackson","3","Central","Wendell Phillips","39.081253","-94.555397","2441 Park Ave   64127 (39.081253, -94.555397)"
"1221833","06/19/2019","C","01/22/2021","5204 E 24th St","Kansas City","MO","64127","20346","Jackson","3","East","East Community Team South","39.08186","-94.522005","5204 E 24th St   64127 (39.08186, -94.522005)"
"1152765","02/29/2016","C","10/25/2017","1621 CHELSEA AVE","Kansas City","MO","64127","8796","Jackson","3","East","East Community Team North","39.091638","-94.525457","1621 CHELSEA AVE   64127 (39.091638, -94.525457)"
"1073665","08/22/2012","C","05/13/2015","3341 Hardesty Ave","Kansas City","MO","64128","23432","Jackson","3","East","Dunbar","39.063785","-94.520527","3341 Hardesty Ave   64128 (39.063785, -94.520527)"
"1184388","08/18/2017","C","09/27/2017","5232 E 8th St","Kansas City","MO","64124","7465","Jackson","3","East","Lykins","39.102681","-94.519719","5232 E 8th St   64124 (39.102681, -94.519719)"
"1077333","09/25/2012","C","08/02/2013","4337 FLORA AVE","Kansas City","MO","64110","137527","Jackson","3","Central","Ivanhoe Southwest","39.047323","-94.566469","4337 FLORA AVE   64110 (39.047323, -94.566469)"
"1095673","07/11/2013","C","06/12/2018","817 Newton Ave","Kansas City","MO","64125","5189","Jackson","4","East","Sheffield","39.101561","-94.50374","817 Newton Ave   64125 (39.101561, -94.50374)"
"1061717","04/13/2012","C","03/14/2018","3635 E 58TH ST","Kansas City","MO","64130","37063","Jackson","5","Metro","North Town Fork Creek","39.020697","-94.542866","3635 E 58TH ST   64130 (39.020697, -94.542866)"
"1059539","03/22/2012","C","03/18/2019","3708 E 27th St","Kansas City","MO","64127","17291","Jackson","3","East","Washington Wheatley","39.076856","-94.539325","3708 E 27th St   64127 (39.076856, -94.539325)"
"1181125","07/03/2017","C","09/10/2018","5711 Askew Ave","Kansas City","MO","64130","37095","Jackson","5","Metro","North Town Fork Creek","39.021742","-94.543938","5711 Askew Ave   64130 (39.021742, -94.543938)"
"1119812","08/07/2014","C","06/07/2017","2945 POPLAR AVE","Kansas City","MO","64128","22754","Jackson","3","East","Knoches Park","39.071089","-94.526459","2945 POPLAR AVE   64128 (39.071089, -94.526459)"
"1131569","03/25/2015","C","10/21/2015","3325 South Benton Ave","Kansas City","MO","64128","25489","Jackson","3","East","Oak Park Northwest","39.065115","-94.549283","3325 South Benton Ave   64128 (39.065115, -94.549283)"
